"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","9","0"
"Globals","21","1078","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","32.032154","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","59.078873","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","15.377959","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","13.197995","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","16","1","1","78.506294","0","151"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","3.276574","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.183588","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.567777","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","19","1","1","40.415958","0","208"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","5.934179","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","10.781260","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","28","1","1","74.146507","0","433"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","14","1","1","43.011517","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.272754","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","2.306473","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","1","1","4.292162","0","26"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","21","2","2","1","1.446341","0","3"
"/Game/VRTemplate/Materials/M_Projectile.M_Projectile","21","14","1","1","28.536085","0","115"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","1","1","12.426158","0","56"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","21","8","1","1","10.581731","0","43"
"/Game/StarterContent/Materials/M_Glass.M_Glass","21","9","1","1","9.334053","0","53"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","21","14","1","1","26.056263","0","107"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","21","14","1","1","27.541735","0","118"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","21","14","1","1","28.247683","0","118"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","21","2","2","1","1.567201","0","3"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","21","28","6","1","31.990114","0","388"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","21","28","6","1","0.000000","0","388"
"/Game/Additional3DModels/FBX/Helm.Helm","21","14","1","1","0.000000","0","118"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","2.259488","0","3"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","21","28","1","1","53.145863","0","401"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","21","14","1","1","26.004044","0","110"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","21","28","1","1","55.074966","0","403"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","21","14","1","1","25.184660","0","68"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","28","1","1","56.168972","0","201"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","21","14","1","1","25.886679","0","55"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","28","1","1","55.648636","0","151"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","28","1","1","0.000000","0","201"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","28","2","1","52.442551","0","160"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.261437","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","26.837748","0","149"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","3.995740","0","10"
"/ControlRig/M_Manip.M_Manip","21","4","4","1","3.112977","0","5"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","1.691354","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","1.567879","0","3"
"/OpenXR/Devices/M_XRController.M_XRController","21","42","16","3","110.458130","0","152"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","9","6","28.391392","0","104"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","1","1","3.211931","0","13"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","28","1","1","25.688139","0","255"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","112","1","1","242.040680","0","1804"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","388","3","1","673.830078","0","14895"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","21","12","1","1","12.291420","0","65"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","20","1","1","32.709148","0","138"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","21","14","1","1","28.029549","0","64"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","21","9","1","1","9.395729","0","53"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","21","14","1","1","36.485256","0","85"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","21","6","6","1","10.022397","0","11"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","21","21","1","1","22.933472","0","154"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","21","14","2","1","29.094229","0","71"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","21","14","1","1","30.634720","0","118"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","21","14","1","1","29.203373","0","68"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","21","14","1","1","28.125563","0","62"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","21","14","1","1","27.534042","0","75"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","21","14","1","1","28.178753","0","103"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","21","14","1","1","29.187366","0","118"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","21","14","1","1","30.748722","0","105"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","21","14","1","1","28.862541","0","76"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","21","14","1","1","28.152687","0","105"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","21","14","1","1","32.113041","0","83"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","21","14","1","1","29.071283","0","109"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","21","14","1","1","27.847914","0","61"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","21","14","1","1","37.474823","0","80"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","21","14","1","1","27.383076","0","72"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","21","14","1","1","28.223909","0","83"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","21","14","1","1","32.277107","0","85"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","21","14","1","1","32.584095","0","85"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","21","14","1","1","27.880733","0","65"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","21","14","1","1","30.101690","0","69"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","21","14","1","1","27.772697","0","88"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","21","14","1","1","29.404615","0","63"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","21","14","1","1","31.859344","0","73"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","21","6","1","1","9.268189","0","21"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","21","6","1","1","6.798923","0","19"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","21","28","1","1","26.921759","0","194"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","21","14","1","1","34.824772","0","74"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","21","14","1","1","27.943264","0","75"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","21","14","1","1","28.797415","0","59"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","21","14","1","1","30.346766","0","94"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","21","14","1","1","28.680552","0","67"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","21","14","1","1","27.869259","0","85"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","21","14","1","1","29.585100","0","78"
